index,data,seed,e,kappa,cl_ml_ratio,ml_sat,ml_unsat,cl_sat,cl_unsat,lambda_minus,lambda_plus,ARI,p1_slvr_status,p1_clause_gen,p1_solver,p1_total,p2_slvr_status,p2_clause_gen,p2_solver,p2_total,total_time,final_slvr_status,total_slvr_time,obj_value
0,chainlink,1732,0.1,0.1,1,52.0,0.0,48.0,0.0,989,17,0.936960902,OPTIMUM,0.21553,0.77931,1.038,OPTIMUM,0.21763,2.51606,5.12987,6.16787,OPTIMUM,3.29537,972
4,chainlink,1732,0.1,0.25,1,126.0,0.0,119.0,5.0,989,11,0.936960934,OPTIMUM,0.26146,53.66525,53.97657,OPTIMUM,0.21809,1.66943,4.31403,58.2906,OPTIMUM,55.33468,978
8,chainlink,1732,0.1,0.5,1,247.0,0.0,245.0,8.0,989,11,0.936960907,OPTIMUM,0.21354,101.12319,101.39371,OPTIMUM,0.21416,1.25894,4.02879,105.4225,OPTIMUM,102.38213,978
12,chainlink,1732,0.1,0.7,1,355.0,2.0,333.0,10.0,989,11,0.952528488,OPTIMUM,0.21338,331.16875,331.4282,OPTIMUM,0.22434,0.47187,2.91096,334.33916,OPTIMUM,331.64062,978
16,chainlink,1732,0.1,1.0,1,501.0,6.0,480.0,13.0,989,11,0.956440401,OPTIMUM,0.21399,270.68813,270.95188,OPTIMUM,0.21704,0.34472,3.11626,274.06814,OPTIMUM,271.03285,978
20,chainlink,1732,0.1,1.5,1,770.0,9.0,702.0,19.0,989,11,0.960360326,SATISFIABLE,0.22342,900.01549,900.28214,OPTIMUM,0.22531,0.34295,3.0538,903.33594,SATISFIABLE,900.35844,978
24,chainlink,1732,0.1,1.75,1,891.0,10.0,828.0,21.0,989,11,0.960360326,OPTIMUM,0.21249,750.84776,751.12132,OPTIMUM,0.21493,0.25274,2.81021,753.93153,OPTIMUM,751.1005,978
28,chainlink,1732,0.1,2.0,1,1010.0,10.0,958.0,22.0,989,11,0.960360326,OPTIMUM,0.21381,255.39444,255.67155,OPTIMUM,0.21198,0.36776,2.93777,258.60932,OPTIMUM,255.7622,978
32,glass,1732,0.1,0.1,1,9.0,0.0,12.0,0.0,1118,19,0.210252425,OPTIMUM,0.34628,1.0152,1.45104,OPTIMUM,0.33958,1.27924,1.90393,3.35497,OPTIMUM,2.29444,1099
36,glass,1732,0.1,0.25,1,20.0,0.0,33.0,0.0,1118,18,0.26129081,OPTIMUM,0.3371,2.23488,2.65873,OPTIMUM,0.34839,14.27602,14.90659,17.56532,OPTIMUM,16.5109,1100
40,glass,1732,0.1,0.5,1,34.0,0.0,73.0,0.0,1226,6,0.346057607,OPTIMUM,0.35073,110.4545,110.88523,SATISFIABLE,0.34236,900.01974,900.64473,1011.52996,SATISFIABLE,1010.47424,1220
44,glass,1732,0.1,0.7,1,40.0,0.0,108.0,1.0,1321,2,0.443938102,SATISFIABLE,0.36043,900.01704,900.46073,SATISFIABLE,0.34255,900.01672,900.63779,1801.09852,SATISFIABLE,1800.03376,1319
48,glass,1732,0.1,1.0,1,47.0,9.0,155.0,3.0,0,0,,SATISFIABLE,0.35233,900.01504,900.42477,UNKNOWN,0.3378,900.01496,900.60574,1801.03051,UNKNOWN,1800.03,0
52,glass,1732,0.1,1.5,1,52.0,32.0,232.0,5.0,1469,5,0.277318333,SATISFIABLE,0.35422,900.01528,900.4313,OPTIMUM,0.33765,311.37207,311.96683,1212.39813,SATISFIABLE,1211.38735,1464
56,glass,1732,0.1,1.75,1,70.0,26.0,266.0,12.0,1471,6,0.423472604,SATISFIABLE,0.35188,900.01497,900.43777,OPTIMUM,0.34205,234.26587,234.79288,1135.23065,SATISFIABLE,1134.28084,1465
60,glass,1732,0.1,2.0,1,69.0,45.0,296.0,18.0,1477,2,0.268494635,SATISFIABLE,0.35975,900.01544,900.449,OPTIMUM,0.33381,359.53377,360.05575,1260.50475,SATISFIABLE,1259.54921,1475
64,ionosphere,1732,0.1,0.1,1,23.0,0.0,12.0,0.0,3567,240,0.333295889,OPTIMUM,0.3925,0.4247,0.89494,OPTIMUM,0.38331,6.44826,7.04007,7.93501,OPTIMUM,6.87296,3327
68,ionosphere,1732,0.1,0.25,1,49.0,0.0,36.0,2.0,3572,195,0.599461168,SATISFIABLE,0.37666,900.01459,900.44476,OPTIMUM,0.38274,63.61701,64.22827,964.67303,SATISFIABLE,963.6316,3377
72,ionosphere,1732,0.1,0.5,1,89.0,6.0,73.0,7.0,3577,99,0.609583784,SATISFIABLE,0.37103,900.01482,900.46367,OPTIMUM,0.39094,29.1389,29.88567,930.34934,SATISFIABLE,929.15372,3478
76,ionosphere,1732,0.1,0.7,1,121.0,8.0,103.0,13.0,3577,76,0.610972732,SATISFIABLE,0.37476,900.01475,900.4567,OPTIMUM,0.37961,11.45078,12.08824,912.54494,SATISFIABLE,911.46553,3501
80,ionosphere,1732,0.1,1.0,1,165.0,11.0,163.0,12.0,3577,99,0.692821175,SATISFIABLE,0.37194,900.01493,900.44473,OPTIMUM,0.42532,10.67121,11.36753,911.81226,SATISFIABLE,910.68614,3478
84,ionosphere,1732,0.1,1.5,1,255.0,27.0,207.0,37.0,3577,99,0.701987225,SATISFIABLE,0.39588,900.01324,900.47263,OPTIMUM,0.40809,10.06041,10.7513,911.22393,SATISFIABLE,910.07365,3478
88,ionosphere,1732,0.1,1.75,1,309.0,23.0,254.0,28.0,3577,99,0.732556202,SATISFIABLE,0.38732,900.01549,900.46683,OPTIMUM,0.38066,3.10435,3.74873,904.21556,SATISFIABLE,903.11984,3478
92,ionosphere,1732,0.1,2.0,1,347.0,36.0,267.0,52.0,3577,99,0.682677684,SATISFIABLE,0.40564,900.0147,900.49574,OPTIMUM,0.39848,15.96333,16.64543,917.14117,SATISFIABLE,915.97803,3478
96,iris,1732,0.1,0.1,1,4.0,0.0,11.0,0.0,755,36,0.8857921,OPTIMUM,0.05963,0.11042,0.19463,OPTIMUM,0.05978,0.37651,1.10367,1.2983,OPTIMUM,0.48693,719
100,iris,1732,0.1,0.25,1,14.0,0.0,23.0,0.0,755,24,0.788044357,OPTIMUM,0.0553,0.05972,0.12744,OPTIMUM,0.06152,0.31077,0.88895,1.01639,OPTIMUM,0.37049,731
104,iris,1732,0.1,0.5,1,29.0,0.0,46.0,0.0,755,23,0.941012256,OPTIMUM,0.05627,0.06609,0.13598,OPTIMUM,0.0621,0.20956,0.54525,0.68123,OPTIMUM,0.27565,732
108,iris,1732,0.1,0.7,1,37.0,0.0,68.0,0.0,755,23,0.8857921,OPTIMUM,0.06097,0.11016,0.18377,OPTIMUM,0.06531,0.23911,0.55889,0.74266,OPTIMUM,0.34927,732
112,iris,1732,0.1,1.0,1,54.0,0.0,96.0,0.0,755,15,0.865605244,OPTIMUM,0.05803,0.19458,0.26732,OPTIMUM,0.06201,0.2727,0.56125,0.82857,OPTIMUM,0.46728,740
116,iris,1732,0.1,1.5,1,77.0,0.0,148.0,0.0,854,23,0.960277692,OPTIMUM,0.05659,0.08067,0.15696,OPTIMUM,0.06076,0.41702,0.67606,0.83302,OPTIMUM,0.49769,831
120,iris,1732,0.1,1.75,1,88.0,0.0,174.0,0.0,854,23,0.979932005,OPTIMUM,0.06076,0.08865,0.16518,OPTIMUM,0.06092,0.2716,0.51315,0.67833,OPTIMUM,0.36025,831
124,iris,1732,0.1,2.0,1,108.0,0.0,192.0,0.0,854,23,0.979932005,OPTIMUM,0.05778,0.0695,0.14181,OPTIMUM,0.06178,0.13224,0.3386,0.48041,OPTIMUM,0.20174,831
128,libras,1732,0.1,0.1,1,3.0,0.0,33.0,0.0,3135,68,0.130113791,OPTIMUM,7.92084,25.88479,34.58698,OPTIMUM,7.7919,69.20672,78.83631,113.42329,OPTIMUM,95.09151,3067
132,libras,1732,0.1,0.25,1,10.0,0.0,80.0,0.0,3135,68,0.116823058,OPTIMUM,7.90799,45.90035,54.5676,OPTIMUM,7.78063,142.59851,152.23475,206.80235,OPTIMUM,188.49886,3067
136,libras,1732,0.1,0.5,1,14.0,0.0,166.0,0.0,3593,99,0.180691847,OPTIMUM,7.95078,65.74572,74.81264,OPTIMUM,8.13298,311.84228,321.42593,396.23857,OPTIMUM,377.588,3494
140,libras,1732,0.1,0.7,1,18.0,0.0,233.0,0.0,3593,99,0.127662559,OPTIMUM,8.01106,64.39319,73.55431,OPTIMUM,7.84799,379.87682,389.24133,462.79564,OPTIMUM,444.27001,3494
144,libras,1732,0.1,1.0,1,23.0,0.0,337.0,0.0,0,0,,OPTIMUM,7.99546,84.45683,93.22816,UNKNOWN,7.97184,900.0305,909.48158,1002.70974,UNKNOWN,984.48733,0
