index,data,seed,e,kappa,cl_ml_ratio,ml_sat,ml_unsat,cl_sat,cl_unsat,lambda_minus,lambda_plus,ARI,p1_slvr_status,p1_clause_gen,p1_solver,p1_total,p2_slvr_status,p2_clause_gen,p2_solver,p2_total,total_time,final_slvr_status,total_slvr_time
0,chainlink,1732,0.1,0.1,1,52,0,48,0,989,17,0.936960902,OPTIMUM,0.21553,0.77931,1.038,OPTIMUM,0.21763,2.51606,5.12987,6.16787,OPTIMUM,3.29537
1,chainlink,1732,0.1,0.1,2,52,0,48,0,989,17,0.936960902,OPTIMUM,0.21096,0.75428,1.00873,OPTIMUM,0.22781,2.38732,5.03858,6.04731,OPTIMUM,3.1416
2,chainlink,1732,0.1,0.1,3,52,0,48,0,989,17,0.936960902,OPTIMUM,0.20964,0.77642,1.02915,OPTIMUM,0.21034,2.39337,4.95411,5.98326,OPTIMUM,3.16979
3,chainlink,1732,0.1,0.1,5,52,0,48,0,989,17,0.936960902,OPTIMUM,0.22181,0.82825,1.09194,OPTIMUM,0.23376,2.44028,5.17923,6.27117,OPTIMUM,3.26853
4,chainlink,1732,0.1,0.25,1,126,0,119,5,989,11,0.936960934,OPTIMUM,0.26146,53.66525,53.97657,OPTIMUM,0.21809,1.66943,4.31403,58.2906,OPTIMUM,55.33468
5,chainlink,1732,0.1,0.25,2,122,4,122,2,989,6,0.838894736,OPTIMUM,0.22088,86.5365,86.79805,OPTIMUM,0.2276,1.79082,4.59871,91.39676,OPTIMUM,88.32732
6,chainlink,1732,0.1,0.25,3,122,4,122,2,989,6,0.857333196,OPTIMUM,0.21323,64.2234,64.48204,OPTIMUM,0.22437,1.97981,4.62519,69.10723,OPTIMUM,66.20321
7,chainlink,1732,0.1,0.25,5,122,4,122,2,989,6,0.838894736,OPTIMUM,0.23185,43.68953,43.96443,OPTIMUM,0.22492,1.76945,4.56858,48.53301,OPTIMUM,45.45898
8,chainlink,1732,0.1,0.5,1,247,0,245,8,989,11,0.936960907,OPTIMUM,0.21354,101.12319,101.39371,OPTIMUM,0.21416,1.25894,4.02879,105.4225,OPTIMUM,102.38213
9,chainlink,1732,0.1,0.5,2,243,4,248,5,989,11,0.929225159,OPTIMUM,0.22797,200.76424,201.0376,OPTIMUM,0.21253,1.09101,3.84436,204.88196,OPTIMUM,201.85525
10,chainlink,1732,0.1,0.5,3,243,4,248,5,989,11,0.929225159,OPTIMUM,0.21382,253.68749,253.96542,OPTIMUM,0.21349,1.10579,3.85672,257.82214,OPTIMUM,254.79328
11,chainlink,1732,0.1,0.5,5,239,8,249,4,989,6,0.925369319,OPTIMUM,0.22199,196.96263,197.22863,OPTIMUM,0.22292,0.94622,3.85782,201.08645,OPTIMUM,197.90885
12,chainlink,1732,0.1,0.7,1,355,2,333,10,989,11,0.952528488,OPTIMUM,0.21338,331.16875,331.4282,OPTIMUM,0.22434,0.47187,2.91096,334.33916,OPTIMUM,331.64062
13,chainlink,1732,0.1,0.7,2,351,6,336,7,989,11,0.948624578,OPTIMUM,0.21795,635.48993,635.76291,OPTIMUM,0.21517,0.4864,3.09227,638.85518,OPTIMUM,635.97633
14,chainlink,1732,0.1,0.7,3,351,6,336,7,989,11,0.948624578,OPTIMUM,0.21038,883.0834,883.34959,OPTIMUM,0.22453,0.49606,3.20603,886.55562,OPTIMUM,883.57946
15,chainlink,1732,0.1,0.7,5,351,6,336,7,989,11,0.948624578,SATISFIABLE,0.22112,900.01514,900.28183,OPTIMUM,0.22216,0.49636,3.18967,903.4715,SATISFIABLE,900.5115
16,chainlink,1732,0.1,1,1,501,6,480,13,989,11,0.956440401,OPTIMUM,0.21399,270.68813,270.95188,OPTIMUM,0.21704,0.34472,3.11626,274.06814,OPTIMUM,271.03285
17,chainlink,1732,0.1,1,2,498,9,483,10,989,11,0.956440397,SATISFIABLE,0.21321,900.01457,900.29548,OPTIMUM,0.21857,0.4075,2.92083,903.21631,SATISFIABLE,900.42207
18,chainlink,1732,0.1,1,3,498,9,483,10,989,11,0.956440397,SATISFIABLE,0.22182,900.01854,900.29368,OPTIMUM,0.22854,0.4087,3.07086,903.36454,SATISFIABLE,900.42724
19,chainlink,1732,0.1,1,5,498,9,483,10,989,11,0.956440397,SATISFIABLE,0.2212,900.01394,900.28237,OPTIMUM,0.22461,0.40681,3.07415,903.35652,SATISFIABLE,900.42075
20,chainlink,1732,0.1,1.5,1,770,9,702,19,989,11,0.960360326,SATISFIABLE,0.22342,900.01549,900.28214,OPTIMUM,0.22531,0.34295,3.0538,903.33594,SATISFIABLE,900.35844
21,chainlink,1732,0.1,1.5,2,765,14,706,15,989,11,0.960360321,SATISFIABLE,0.22846,900.01408,900.29192,OPTIMUM,0.22781,0.31381,3.00612,903.29804,SATISFIABLE,900.32789
22,chainlink,1732,0.1,1.5,3,765,14,706,15,989,11,0.960360321,SATISFIABLE,0.2227,900.01368,900.28436,OPTIMUM,0.23207,0.30605,3.00001,903.28437,SATISFIABLE,900.31973
23,chainlink,1732,0.1,1.5,5,765,14,706,15,989,11,0.960360321,SATISFIABLE,0.21896,900.01353,900.29938,OPTIMUM,0.216,0.32802,2.85425,903.15363,SATISFIABLE,900.34155
24,chainlink,1732,0.1,1.75,1,891,10,828,21,989,11,0.960360326,OPTIMUM,0.21249,750.84776,751.12132,OPTIMUM,0.21493,0.25274,2.81021,753.93153,OPTIMUM,751.1005
25,chainlink,1732,0.1,1.75,2,887,14,832,17,989,11,0.960360321,SATISFIABLE,0.21465,900.01377,900.29225,OPTIMUM,0.21486,0.31019,2.86646,903.15871,SATISFIABLE,900.32396
26,chainlink,1732,0.1,1.75,3,877,24,833,16,989,9,0.952528493,SATISFIABLE,0.22065,900.02062,900.29214,OPTIMUM,0.20995,0.30927,2.83016,903.1223,SATISFIABLE,900.32989
27,chainlink,1732,0.1,1.75,5,887,14,832,17,989,11,0.960360321,SATISFIABLE,0.225,900.01519,900.29236,OPTIMUM,0.20841,0.29504,2.8378,903.13016,SATISFIABLE,900.31023
28,chainlink,1732,0.1,2,1,1010,10,958,22,989,11,0.960360326,OPTIMUM,0.21381,255.39444,255.67155,OPTIMUM,0.21198,0.36776,2.93777,258.60932,OPTIMUM,255.7622
29,chainlink,1732,0.1,2,2,1004,16,962,18,989,11,0.960360321,SATISFIABLE,0.21639,900.0195,900.29496,OPTIMUM,0.21614,0.3189,2.91001,903.20497,SATISFIABLE,900.3384
30,chainlink,1732,0.1,2,3,1004,16,962,18,989,11,0.960360321,SATISFIABLE,0.23231,900.02626,900.3117,OPTIMUM,0.21781,0.29747,2.94564,903.25734,SATISFIABLE,900.32373
31,chainlink,1732,0.1,2,5,1004,16,962,18,989,11,0.960360321,SATISFIABLE,0.22492,900.03225,900.3198,OPTIMUM,0.21653,0.29115,2.94606,903.26586,SATISFIABLE,900.3234
32,glass,1732,0.1,0.1,1,9,0,12,0,1118,19,0.210252425,OPTIMUM,0.34628,1.0152,1.45104,OPTIMUM,0.33958,1.27924,1.90393,3.35497,OPTIMUM,2.29444
33,glass,1732,0.1,0.1,2,9,0,12,0,1118,19,0.210252425,OPTIMUM,0.39107,1.15853,1.62181,OPTIMUM,0.33719,1.27084,1.88324,3.50505,OPTIMUM,2.42937
34,glass,1732,0.1,0.1,3,9,0,12,0,1118,19,0.210252425,OPTIMUM,0.35139,1.04457,1.47662,OPTIMUM,0.35429,1.28864,1.92376,3.40038,OPTIMUM,2.33321
35,glass,1732,0.1,0.1,5,9,0,12,0,1118,19,0.210252425,OPTIMUM,0.35579,1.06313,1.47242,OPTIMUM,0.34923,1.294,1.91603,3.38845,OPTIMUM,2.35713
36,glass,1732,0.1,0.25,1,20,0,33,0,1118,18,0.26129081,OPTIMUM,0.3371,2.23488,2.65873,OPTIMUM,0.34839,14.27602,14.90659,17.56532,OPTIMUM,16.5109
37,glass,1732,0.1,0.25,2,20,0,33,0,1118,18,0.26129081,OPTIMUM,0.34966,2.37192,2.77703,OPTIMUM,0.35219,15.44467,16.0688,18.84583,OPTIMUM,17.81659
38,glass,1732,0.1,0.25,3,20,0,33,0,1118,18,0.26129081,OPTIMUM,0.35158,2.40232,2.80859,OPTIMUM,0.34117,14.47009,15.08441,17.893,OPTIMUM,16.87241
39,glass,1732,0.1,0.25,5,20,0,33,0,1118,18,0.26129081,OPTIMUM,0.34382,2.3482,2.76807,OPTIMUM,0.35142,15.04741,15.66565,18.43372,OPTIMUM,17.39561
40,glass,1732,0.1,0.5,1,34,0,73,0,1226,6,0.346057607,OPTIMUM,0.35073,110.4545,110.88523,SATISFIABLE,0.34236,900.01974,900.64473,1011.52996,SATISFIABLE,1010.47424
41,glass,1732,0.1,0.5,2,33,1,73,0,1204,10,0.396263887,SATISFIABLE,0.34671,900.01592,900.4415,SATISFIABLE,0.33397,900.01454,900.62157,1801.06307,SATISFIABLE,1800.03046
42,glass,1732,0.1,0.5,3,34,0,73,0,1226,6,0.346057607,OPTIMUM,0.35335,662.47968,662.88795,SATISFIABLE,0.39219,900.01681,900.71681,1563.60476,SATISFIABLE,1562.49649
43,glass,1732,0.1,0.5,5,34,0,73,0,1226,6,0.346057607,OPTIMUM,0.35457,75.38239,75.79207,SATISFIABLE,0.35462,900.02219,900.64887,976.44094,SATISFIABLE,975.40458
44,glass,1732,0.1,0.7,1,40,0,108,1,1321,2,0.443938102,SATISFIABLE,0.36043,900.01704,900.46073,SATISFIABLE,0.34255,900.01672,900.63779,1801.09852,SATISFIABLE,1800.03376
45,glass,1732,0.1,0.7,2,34,6,109,0,0,0,,SATISFIABLE,0.37057,900.01328,900.43987,UNKNOWN,0.34443,900.01472,900.63539,1801.07526,UNKNOWN,1800.028
46,glass,1732,0.1,0.7,3,39,1,109,0,0,0,,SATISFIABLE,0.41353,900.01607,900.48986,UNKNOWN,0.39008,900.01921,900.75517,1801.24503,UNKNOWN,1800.03528
47,glass,1732,0.1,0.7,5,34,6,109,0,0,0,,SATISFIABLE,0.36502,900.01302,900.43836,UNKNOWN,0.37757,900.01542,900.66781,1801.10617,UNKNOWN,1800.02844
48,glass,1732,0.1,1,1,47,9,155,3,0,0,,SATISFIABLE,0.35233,900.01504,900.42477,UNKNOWN,0.3378,900.01496,900.60574,1801.03051,UNKNOWN,1800.03
49,glass,1732,0.1,1,2,51,5,157,1,0,0,,SATISFIABLE,0.36397,900.01374,900.4316,UNKNOWN,0.37089,900.01348,900.6298,1801.0614,UNKNOWN,1800.02722
50,glass,1732,0.1,1,3,40,16,158,0,1469,1,0.312912765,SATISFIABLE,0.37626,900.01651,900.47043,SATISFIABLE,0.34885,900.01768,900.64133,1801.11176,SATISFIABLE,1800.03419
51,glass,1732,0.1,1,5,38,18,158,0,0,0,,SATISFIABLE,0.35077,900.01396,900.43343,UNKNOWN,0.36672,900.01471,901.09484,1801.52827,UNKNOWN,1800.02867
