data,seed,e,kappa,cl_ml_ratio,pareto_index,ml_sat,ml_unsat,cl_sat,cl_unsat,lm_lambda_minus,lm_lambda_plus,lp_lambda_minus,lp_lambda_plus,ARI,p1_slvr_status,p1_clause_gen,p1_solver,p1_total,p2_lm_slvr_status,p2_lm_clause_gen,p2_lm_solver,p2_lm_total,p2_lp_slvr_status,p2_lp_clause_gen,p2_lp_solver,p2_lp_total,total_slvr_time,type,obj_value
chainlink,1732,0.1,0.7,1,0,355.0,2.0,333.0,10.0,989,9,989,11,0.952528493,OPTIMUM,0.21239,327.57253,327.82703,OPTIMUM,0.22856,0.19965,2.66782,OPTIMUM,0.21349,0.43633,2.89192,328.46301,main,978
ionosphere,1732,0.1,0.7,1,0,121.0,8.0,103.0,13.0,3577,76,3577,76,0.610972732,SATISFIABLE,0.36488,900.01542,900.47553,OPTIMUM,0.38635,7.87178,8.50576,OPTIMUM,0.43759,11.38722,12.07534,919.73453,main,3501
iris,1732,0.1,0.7,1,0,37.0,0.0,68.0,0.0,755,2,755,23,0.8857921,OPTIMUM,0.05544,0.11154,0.18287,OPTIMUM,0.06069,0.08461,0.40123,OPTIMUM,0.09609,0.08436,0.43477,0.35184,main,732
libras,1732,0.1,0.7,1,0,18.0,0.0,233.0,0.0,3593,4,3593,99,0.232982164,OPTIMUM,8.12523,64.40881,73.78224,OPTIMUM,7.93154,214.01405,223.50717,OPTIMUM,7.8571,579.97927,589.411,867.77556,main,3494
libras,1732,0.1,0.7,1,1,18.0,0.0,233.0,0.0,3663,107,3663,134,0.155975078,OPTIMUM,8.12523,64.40881,73.78224,OPTIMUM,7.88425,2510.00884,2519.44834,OPTIMUM,7.8146,963.46292,972.8497,3547.254,main,3529
lsun,1732,0.1,0.7,1,0,100.0,0.0,180.0,0.0,903,17,903,19,0.97603919,OPTIMUM,0.10511,0.27531,0.42209,OPTIMUM,0.1038,0.44902,1.21402,OPTIMUM,0.10905,0.21521,0.95537,1.08632,main,884
lsun,1732,0.1,0.7,1,1,100.0,0.0,180.0,0.0,923,20,923,104,1.0,OPTIMUM,0.10511,0.27531,0.42209,OPTIMUM,0.16416,0.2628,1.0548,OPTIMUM,0.10803,0.13473,0.87208,0.81962,main,819
seeds,1732,0.1,0.7,1,0,45.0,0.0,101.0,1.0,1083,8,1083,8,0.851081913,OPTIMUM,0.11242,4.38126,4.51875,OPTIMUM,0.122,0.79476,1.47705,OPTIMUM,0.09578,0.39697,1.05413,5.71048,main,1075
spam,1732,0.1,0.7,1,0,1211.0,457.0,961.0,591.0,2432,9,2432,9,0.340910493,SATISFIABLE,10.16785,900.05603,912.40877,OPTIMUM,9.89891,167.93054,208.59275,OPTIMUM,9.68586,183.47348,224.05387,1263.81279,main,2423
target,1732,0.1,0.7,1,0,276.0,0.0,263.0,0.0,646,4,646,4,0.972757851,OPTIMUM,0.82606,2.59408,3.71071,OPTIMUM,0.81619,4.20433,8.80962,OPTIMUM,0.85397,0.99929,5.48346,8.91433,main,642
