data,seed,e,kappa,cl_ml_ratio,pareto_index,ml_sat,ml_unsat,cl_sat,cl_unsat,lm_lambda_minus,lm_lambda_plus,lp_lambda_minus,lp_lambda_plus,ARI,p1_slvr_status,p1_clause_gen,p1_solver,p1_total,p2_lm_slvr_status,p2_lm_clause_gen,p2_lm_solver,p2_lm_total,p2_lp_slvr_status,p2_lp_clause_gen,p2_lp_solver,p2_lp_total,total_slvr_time
chainlink,1732,0.1,0.0,1,9,,,,,0,0,,,,,,,0.0,UNSATISFIABLE,64.75214,1.95181,67.99262,,,,,1.95181
chainlink,1732,0.1,0.1,1,1,52.0,0.0,48.0,0.0,0,0,,,,OPTIMUM,0.20875,0.78707,1.04327,UNSATISFIABLE,0.49159,0.24589,3.04111,,,,,1.28916
chainlink,1732,0.1,0.25,1,1,126.0,0.0,119.0,5.0,0,0,,,,OPTIMUM,0.21066,52.05323,52.32657,UNSATISFIABLE,0.1977,0.46106,3.27146,,,,,52.78763
chainlink,1732,0.1,0.5,1,1,247.0,0.0,245.0,8.0,0,0,,,,OPTIMUM,0.21191,99.67103,99.94648,UNSATISFIABLE,0.21602,0.23859,3.23292,,,,,100.18507
chainlink,1732,0.1,0.7,1,1,355.0,2.0,333.0,10.0,0,0,,,,OPTIMUM,0.21239,327.57253,327.82703,UNSATISFIABLE,0.19827,0.25486,2.70129,,,,,328.08189
chainlink,1732,0.1,1.0,1,1,501.0,6.0,480.0,13.0,0,0,,,,OPTIMUM,0.20757,259.21089,259.48066,UNSATISFIABLE,0.20916,0.22215,2.71699,,,,,259.70281
chainlink,1732,0.1,1.5,1,1,770.0,9.0,702.0,19.0,0,0,,,,SATISFIABLE,0.21713,900.01539,900.28716,UNSATISFIABLE,0.19753,0.19436,2.67619,,,,,900.4815199999999
chainlink,1732,0.1,1.75,1,1,891.0,10.0,828.0,21.0,0,0,,,,OPTIMUM,0.21577,775.00552,775.27664,UNSATISFIABLE,0.19588,0.21215,2.7388,,,,,775.48879
chainlink,1732,0.1,2.0,1,1,1010.0,10.0,958.0,22.0,0,0,,,,OPTIMUM,0.2159,255.23892,255.52083,UNSATISFIABLE,0.19966,0.19312,2.74515,,,,,255.71395
chainlink,2352,0.1,0.0,1,9,,,,,0,0,,,,,,,0.0,UNSATISFIABLE,64.75214,1.95181,67.99262,,,,,1.95181
chainlink,2352,0.1,0.1,1,2,55.0,0.0,45.0,0.0,0,0,,,,OPTIMUM,0.21565,0.25203,0.50756,UNSATISFIABLE,0.19897,0.53965,5.57427,,,,,1.04721
chainlink,2352,0.1,0.25,1,1,125.0,1.0,123.0,1.0,0,0,,,,OPTIMUM,0.21057,7.88359,8.14932,UNSATISFIABLE,0.19508,0.25703,5.50141,,,,,8.40635
chainlink,2352,0.1,0.5,1,1,257.0,0.0,236.0,7.0,0,0,,,,OPTIMUM,0.21496,74.30141,74.56791,UNSATISFIABLE,0.19657,0.21401,2.76731,,,,,74.78192
chainlink,2352,0.1,0.7,1,1,338.0,3.0,353.0,6.0,0,0,,,,OPTIMUM,0.22014,180.91115,181.17684,UNSATISFIABLE,0.1974,0.23067,2.65604,,,,,181.40751
chainlink,2352,0.1,1.0,1,1,483.0,4.0,503.0,10.0,0,0,,,,OPTIMUM,0.22001,166.59427,166.85799,UNSATISFIABLE,0.20166,0.24731,2.70561,,,,,167.1053
chainlink,2352,0.1,1.5,1,1,734.0,9.0,743.0,14.0,0,0,,,,OPTIMUM,0.21753,655.42147,655.68672,UNSATISFIABLE,0.19851,0.21281,2.71474,,,,,655.89953
chainlink,2352,0.1,1.75,1,1,856.0,11.0,866.0,17.0,0,0,,,,SATISFIABLE,0.21655,900.01596,900.28105,UNSATISFIABLE,0.20249,0.19491,2.7204,,,,,900.4759600000001
chainlink,2352,0.1,2.0,1,1,987.0,12.0,979.0,22.0,0,0,,,,SATISFIABLE,0.21861,900.01838,900.28519,UNSATISFIABLE,0.20104,0.19981,2.74589,,,,,900.4849999999999
chainlink,3556,0.1,0.0,1,9,,,,,0,0,,,,,,,0.0,UNSATISFIABLE,64.75214,1.95181,67.99262,,,,,1.95181
chainlink,3556,0.1,0.1,1,1,54.0,0.0,46.0,0.0,0,0,,,,OPTIMUM,0.20838,1.37945,1.64319,UNSATISFIABLE,0.19698,1.88435,12.55384,,,,,3.52754
chainlink,3556,0.1,0.25,1,1,119.0,1.0,128.0,2.0,0,0,,,,OPTIMUM,0.20786,14.60882,14.87769,UNSATISFIABLE,0.19887,0.8034,3.58801,,,,,15.68109
chainlink,3556,0.1,0.5,1,1,244.0,5.0,248.0,3.0,0,0,,,,OPTIMUM,0.21055,53.40511,53.67982,UNSATISFIABLE,0.19417,0.33249,3.13726,,,,,54.01231
