index,data,seed,e,kappa,cl_ml_ratio,ml_sat,ml_unsat,cl_sat,cl_unsat,lambda_minus,lambda_plus,ARI,p1_slvr_status,p1_clause_gen,p1_solver,p1_total,p2_slvr_status,p2_clause_gen,p2_solver,p2_total,total_time,final_slvr_status,total_slvr_time,obj_value
0,chainlink,1732,0.1,0.1,1,52.0,0.0,48.0,0.0,989,17,0.936960902,OPTIMUM,0.21553,0.77931,1.038,OPTIMUM,0.21763,2.51606,5.12987,6.16787,OPTIMUM,3.29537,972
4,chainlink,1732,0.1,0.25,1,126.0,0.0,119.0,5.0,989,11,0.936960934,OPTIMUM,0.26146,53.66525,53.97657,OPTIMUM,0.21809,1.66943,4.31403,58.2906,OPTIMUM,55.33468,978
8,chainlink,1732,0.1,0.5,1,247.0,0.0,245.0,8.0,989,11,0.936960907,OPTIMUM,0.21354,101.12319,101.39371,OPTIMUM,0.21416,1.25894,4.02879,105.4225,OPTIMUM,102.38213,978
12,chainlink,1732,0.1,0.7,1,355.0,2.0,333.0,10.0,989,11,0.952528488,OPTIMUM,0.21338,331.16875,331.4282,OPTIMUM,0.22434,0.47187,2.91096,334.33916,OPTIMUM,331.64062,978
16,chainlink,1732,0.1,1.0,1,501.0,6.0,480.0,13.0,989,11,0.956440401,OPTIMUM,0.21399,270.68813,270.95188,OPTIMUM,0.21704,0.34472,3.11626,274.06814,OPTIMUM,271.03285,978
24,chainlink,1732,0.1,1.75,1,891.0,10.0,828.0,21.0,989,11,0.960360326,OPTIMUM,0.21249,750.84776,751.12132,OPTIMUM,0.21493,0.25274,2.81021,753.93153,OPTIMUM,751.1005,978
28,chainlink,1732,0.1,2.0,1,1010.0,10.0,958.0,22.0,989,11,0.960360326,OPTIMUM,0.21381,255.39444,255.67155,OPTIMUM,0.21198,0.36776,2.93777,258.60932,OPTIMUM,255.7622,978
32,glass,1732,0.1,0.1,1,9.0,0.0,12.0,0.0,1118,19,0.210252425,OPTIMUM,0.34628,1.0152,1.45104,OPTIMUM,0.33958,1.27924,1.90393,3.35497,OPTIMUM,2.29444,1099
36,glass,1732,0.1,0.25,1,20.0,0.0,33.0,0.0,1118,18,0.26129081,OPTIMUM,0.3371,2.23488,2.65873,OPTIMUM,0.34839,14.27602,14.90659,17.56532,OPTIMUM,16.5109,1100
64,ionosphere,1732,0.1,0.1,1,23.0,0.0,12.0,0.0,3567,240,0.333295889,OPTIMUM,0.3925,0.4247,0.89494,OPTIMUM,0.38331,6.44826,7.04007,7.93501,OPTIMUM,6.87296,3327
96,iris,1732,0.1,0.1,1,4.0,0.0,11.0,0.0,755,36,0.8857921,OPTIMUM,0.05963,0.11042,0.19463,OPTIMUM,0.05978,0.37651,1.10367,1.2983,OPTIMUM,0.48693,719
100,iris,1732,0.1,0.25,1,14.0,0.0,23.0,0.0,755,24,0.788044357,OPTIMUM,0.0553,0.05972,0.12744,OPTIMUM,0.06152,0.31077,0.88895,1.01639,OPTIMUM,0.37049,731
104,iris,1732,0.1,0.5,1,29.0,0.0,46.0,0.0,755,23,0.941012256,OPTIMUM,0.05627,0.06609,0.13598,OPTIMUM,0.0621,0.20956,0.54525,0.68123,OPTIMUM,0.27565,732
108,iris,1732,0.1,0.7,1,37.0,0.0,68.0,0.0,755,23,0.8857921,OPTIMUM,0.06097,0.11016,0.18377,OPTIMUM,0.06531,0.23911,0.55889,0.74266,OPTIMUM,0.34927,732
112,iris,1732,0.1,1.0,1,54.0,0.0,96.0,0.0,755,15,0.865605244,OPTIMUM,0.05803,0.19458,0.26732,OPTIMUM,0.06201,0.2727,0.56125,0.82857,OPTIMUM,0.46728,740
116,iris,1732,0.1,1.5,1,77.0,0.0,148.0,0.0,854,23,0.960277692,OPTIMUM,0.05659,0.08067,0.15696,OPTIMUM,0.06076,0.41702,0.67606,0.83302,OPTIMUM,0.49769,831
120,iris,1732,0.1,1.75,1,88.0,0.0,174.0,0.0,854,23,0.979932005,OPTIMUM,0.06076,0.08865,0.16518,OPTIMUM,0.06092,0.2716,0.51315,0.67833,OPTIMUM,0.36025,831
124,iris,1732,0.1,2.0,1,108.0,0.0,192.0,0.0,854,23,0.979932005,OPTIMUM,0.05778,0.0695,0.14181,OPTIMUM,0.06178,0.13224,0.3386,0.48041,OPTIMUM,0.20174,831
128,libras,1732,0.1,0.1,1,3.0,0.0,33.0,0.0,3135,68,0.130113791,OPTIMUM,7.92084,25.88479,34.58698,OPTIMUM,7.7919,69.20672,78.83631,113.42329,OPTIMUM,95.09151,3067
132,libras,1732,0.1,0.25,1,10.0,0.0,80.0,0.0,3135,68,0.116823058,OPTIMUM,7.90799,45.90035,54.5676,OPTIMUM,7.78063,142.59851,152.23475,206.80235,OPTIMUM,188.49886,3067
136,libras,1732,0.1,0.5,1,14.0,0.0,166.0,0.0,3593,99,0.180691847,OPTIMUM,7.95078,65.74572,74.81264,OPTIMUM,8.13298,311.84228,321.42593,396.23857,OPTIMUM,377.588,3494
140,libras,1732,0.1,0.7,1,18.0,0.0,233.0,0.0,3593,99,0.127662559,OPTIMUM,8.01106,64.39319,73.55431,OPTIMUM,7.84799,379.87682,389.24133,462.79564,OPTIMUM,444.27001,3494
160,lsun,1732,0.1,0.1,1,9.0,0.0,31.0,0.0,734,9,0.610926736,OPTIMUM,0.10421,0.96479,1.0963,OPTIMUM,0.10613,0.82208,5.92347,7.01977,OPTIMUM,1.78687,725
164,lsun,1732,0.1,0.25,1,32.0,0.0,68.0,0.0,923,104,1.0,OPTIMUM,0.10659,0.95778,1.09486,OPTIMUM,0.1066,0.50767,1.6611,2.75596,OPTIMUM,1.46545,819
168,lsun,1732,0.1,0.5,1,75.0,0.0,125.0,0.0,923,104,1.0,OPTIMUM,0.10381,0.23743,0.37709,OPTIMUM,0.10913,0.1837,0.96602,1.34311,OPTIMUM,0.42113,819
172,lsun,1732,0.1,0.7,1,100.0,0.0,180.0,0.0,923,104,1.0,OPTIMUM,0.11162,0.27997,0.4226,OPTIMUM,0.10577,0.36325,1.09979,1.52239,OPTIMUM,0.64322,819
176,lsun,1732,0.1,1.0,1,137.0,0.0,263.0,0.0,923,104,1.0,OPTIMUM,0.10915,0.22121,0.35664,OPTIMUM,0.10875,0.43512,1.10432,1.46096,OPTIMUM,0.65633,819
180,lsun,1732,0.1,1.5,1,211.0,0.0,389.0,0.0,923,104,1.0,OPTIMUM,0.10532,0.26077,0.40374,OPTIMUM,0.10713,0.27113,0.84419,1.24793,OPTIMUM,0.5319,819
184,lsun,1732,0.1,1.75,1,247.0,0.0,453.0,0.0,923,104,1.0,OPTIMUM,0.10729,0.19156,0.33982,OPTIMUM,0.10855,0.13956,0.70992,1.04974,OPTIMUM,0.33112,819
188,lsun,1732,0.1,2.0,1,285.0,0.0,515.0,0.0,923,104,1.0,OPTIMUM,0.10765,0.19446,0.34418,OPTIMUM,0.10671,0.12947,0.66865,1.01283,OPTIMUM,0.32393,819
192,seeds,1732,0.1,0.1,1,8.0,0.0,13.0,0.0,896,46,0.646445669,OPTIMUM,0.11715,0.09396,0.23402,OPTIMUM,0.12149,0.42504,1.58392,1.81794,OPTIMUM,0.519,850
196,seeds,1732,0.1,0.25,1,17.0,0.0,35.0,0.0,903,30,0.7598152,OPTIMUM,0.11417,0.12676,0.25886,OPTIMUM,0.12314,0.37966,1.47548,1.73434,OPTIMUM,0.50642,873
200,seeds,1732,0.1,0.5,1,38.0,0.0,67.0,0.0,1083,18,0.822203537,OPTIMUM,0.11369,0.92427,1.0653,OPTIMUM,0.11954,0.73675,1.43255,2.49785,OPTIMUM,1.66102,1065
204,seeds,1732,0.1,0.7,1,45.0,0.0,101.0,1.0,1083,8,0.812674949,OPTIMUM,0.12065,4.51982,4.65935,OPTIMUM,0.1287,1.15262,1.84133,6.50068,OPTIMUM,5.67244,1075
208,seeds,1732,0.1,1.0,1,68.0,0.0,141.0,1.0,1083,8,0.864137875,OPTIMUM,0.11252,2.53764,2.68012,OPTIMUM,0.11914,0.92065,1.52821,4.20833,OPTIMUM,3.45829,1075
212,seeds,1732,0.1,1.5,1,97.0,2.0,214.0,2.0,1083,18,0.915735942,OPTIMUM,0.11398,50.9351,51.07932,OPTIMUM,0.11998,0.41623,0.94486,52.02418,OPTIMUM,51.35133,1065
216,seeds,1732,0.1,1.75,1,111.0,2.0,251.0,3.0,1083,18,0.943137212,OPTIMUM,0.11305,121.17802,121.31689,OPTIMUM,0.12167,0.18619,0.57859,121.89548,OPTIMUM,121.36421,1065
256,target,1732,0.1,0.1,1,34.0,0.0,43.0,0.0,650,164,1.0,OPTIMUM,0.87936,10.92847,11.98189,OPTIMUM,0.83192,2.87002,8.17963,20.16152,OPTIMUM,13.79849,486
