data,seed,e,kappa,cl_ml_ratio,p2_lm_b0,p2_lm_b1,p2_lm_loandra_status,p2_lm_solver_time,type,verify,p2_lp_b0,p2_lp_b1,p2_lp_loandra_status,p2_lp_solver_time
chainlink,1732,0.1,0.7,1,989.0,9.0,OPTIMUM,0.19755,verify,lm,,,,
ionosphere,1732,0.1,0.7,1,3577.0,76.0,OPTIMUM,7.6542,verify,lm,,,,
iris,1732,0.1,0.7,1,755.0,2.0,OPTIMUM,0.08851,verify,lm,,,,
libras,1732,0.1,0.7,1,3593.0,4.0,OPTIMUM,213.71492,verify,lm,,,,
lsun,1732,0.1,0.7,1,903.0,17.0,OPTIMUM,0.45003,verify,lm,,,,
seeds,1732,0.1,0.7,1,1083.0,8.0,OPTIMUM,0.78857,verify,lm,,,,
spam,1732,0.1,0.7,1,2432.0,9.0,OPTIMUM,167.26664,verify,lm,,,,
target,1732,0.1,0.7,1,646.0,4.0,OPTIMUM,4.25592,verify,lm,,,,
wine,1732,0.1,0.7,1,1259.0,11.0,OPTIMUM,14.85186,verify,lm,,,,
wingnut,1732,0.1,0.7,1,1094.0,67.0,OPTIMUM,0.19896,verify,lm,,,,
chainlink,1732,0.1,1.0,1,989.0,11.0,OPTIMUM,0.23722,verify,lm,,,,
ionosphere,1732,0.1,1.0,1,3577.0,99.0,OPTIMUM,12.43208,verify,lm,,,,
iris,1732,0.1,1.0,1,755.0,11.0,OPTIMUM,0.14249,verify,lm,,,,
lsun,1732,0.1,1.0,1,923.0,62.0,OPTIMUM,0.43423,verify,lm,,,,
seeds,1732,0.1,1.0,1,1083.0,8.0,OPTIMUM,0.53237,verify,lm,,,,
spam,1732,0.1,1.0,1,2430.0,0.0,OPTIMUM,125.44854,verify,lm,,,,
target,1732,0.1,1.0,1,649.0,0.0,OPTIMUM,3.6837,verify,lm,,,,
wine,1732,0.1,1.0,1,1272.0,8.0,OPTIMUM,8.8034,verify,lm,,,,
wingnut,1732,0.1,1.0,1,1094.0,67.0,OPTIMUM,0.17146,verify,lm,,,,
chainlink,1732,0.1,1.5,1,989.0,11.0,OPTIMUM,0.22792,verify,lm,,,,
glass,1732,0.1,1.5,1,1469.0,5.0,OPTIMUM,314.19113,verify,lm,,,,
ionosphere,1732,0.1,1.5,1,3577.0,99.0,OPTIMUM,9.93872,verify,lm,,,,
iris,1732,0.1,1.5,1,854.0,9.0,OPTIMUM,0.19424,verify,lm,,,,
lsun,1732,0.1,1.5,1,923.0,8.0,OPTIMUM,0.40686,verify,lm,,,,
seeds,1732,0.1,1.5,1,1083.0,18.0,OPTIMUM,0.37724,verify,lm,,,,
spam,1732,0.1,1.5,1,2429.0,0.0,OPTIMUM,115.60072,verify,lm,,,,
target,1732,0.1,1.5,1,649.0,0.0,OPTIMUM,6.89715,verify,lm,,,,
wine,1732,0.1,1.5,1,1275.0,8.0,OPTIMUM,1.06767,verify,lm,,,,
wingnut,1732,0.1,1.5,1,1094.0,67.0,OPTIMUM,0.17111,verify,lm,,,,
chainlink,1732,0.1,1.75,1,989.0,11.0,OPTIMUM,0.22808,verify,lm,,,,
glass,1732,0.1,1.75,1,1471.0,6.0,OPTIMUM,90.88661,verify,lm,,,,
ionosphere,1732,0.1,1.75,1,3577.0,99.0,OPTIMUM,10.43334,verify,lm,,,,
iris,1732,0.1,1.75,1,854.0,9.0,OPTIMUM,0.11656,verify,lm,,,,
lsun,1732,0.1,1.75,1,923.0,2.0,OPTIMUM,0.13218,verify,lm,,,,
seeds,1732,0.1,1.75,1,1083.0,18.0,OPTIMUM,0.16933,verify,lm,,,,
spam,1732,0.1,1.75,1,2432.0,1.0,OPTIMUM,82.10973,verify,lm,,,,
target,1732,0.1,1.75,1,649.0,0.0,OPTIMUM,3.14655,verify,lm,,,,
wine,1732,0.1,1.75,1,1275.0,2.0,OPTIMUM,0.33809,verify,lm,,,,
wingnut,1732,0.1,1.75,1,1094.0,67.0,OPTIMUM,0.17725,verify,lm,,,,
chainlink,1732,0.1,2.0,1,989.0,11.0,OPTIMUM,0.20683,verify,lm,,,,
glass,1732,0.1,2.0,1,1477.0,2.0,OPTIMUM,320.56639,verify,lm,,,,
ionosphere,1732,0.1,2.0,1,3577.0,99.0,OPTIMUM,7.75887,verify,lm,,,,
iris,1732,0.1,2.0,1,854.0,23.0,OPTIMUM,0.09551,verify,lm,,,,
lsun,1732,0.1,2.0,1,923.0,4.0,OPTIMUM,0.11535,verify,lm,,,,
seeds,1732,0.1,2.0,1,1047.0,18.0,OPTIMUM,0.14149,verify,lm,,,,
spam,1732,0.1,2.0,1,2429.0,6.0,OPTIMUM,83.96074,verify,lm,,,,
target,1732,0.1,2.0,1,650.0,5.0,OPTIMUM,2.82503,verify,lm,,,,
wine,1732,0.1,2.0,1,1275.0,71.0,OPTIMUM,0.2767,verify,lm,,,,
wingnut,1732,0.1,2.0,1,1094.0,67.0,OPTIMUM,0.14938,verify,lm,,,,
chainlink,1732,0.1,0.1,1,989.0,4.0,OPTIMUM,2.16133,verify,lm,,,,
glass,1732,0.1,0.1,1,1109.0,1.0,OPTIMUM,4.33526,verify,lm,,,,
ionosphere,1732,0.1,0.1,1,3567.0,56.0,OPTIMUM,7.84571,verify,lm,,,,
iris,1732,0.1,0.1,1,755.0,2.0,OPTIMUM,0.14183,verify,lm,,,,
libras,1732,0.1,0.1,1,3135.0,1.0,OPTIMUM,69.75075,verify,lm,,,,
lsun,1732,0.1,0.1,1,733.0,2.0,OPTIMUM,0.70449,verify,lm,,,,
seeds,1732,0.1,0.1,1,896.0,1.0,OPTIMUM,0.1974,verify,lm,,,,
spam,1732,0.1,0.1,1,2429.0,6.0,OPTIMUM,315.3313,verify,lm,,,,
target,1732,0.1,0.1,1,632.0,3.0,OPTIMUM,2.72342,verify,lm,,,,
wine,1732,0.1,0.1,1,1178.0,4.0,OPTIMUM,0.23058,verify,lm,,,,
wingnut,1732,0.1,0.1,1,1094.0,67.0,OPTIMUM,0.3152,verify,lm,,,,
chainlink,1732,0.1,0.25,1,989.0,8.0,OPTIMUM,1.21563,verify,lm,,,,
glass,1732,0.1,0.25,1,1109.0,1.0,OPTIMUM,38.30137,verify,lm,,,,
ionosphere,1732,0.1,0.25,1,3572.0,9.0,OPTIMUM,459.11137,verify,lm,,,,
iris,1732,0.1,0.25,1,755.0,10.0,OPTIMUM,0.10199,verify,lm,,,,
libras,1732,0.1,0.25,1,3135.0,2.0,OPTIMUM,80.0724,verify,lm,,,,
lsun,1732,0.1,0.25,1,880.0,9.0,OPTIMUM,0.2015,verify,lm,,,,
seeds,1732,0.1,0.25,1,903.0,14.0,OPTIMUM,0.24892,verify,lm,,,,
spam,1732,0.1,0.25,1,2430.0,0.0,OPTIMUM,405.3594,verify,lm,,,,
target,1732,0.1,0.25,1,642.0,4.0,OPTIMUM,6.91569,verify,lm,,,,
wine,1732,0.1,0.25,1,1178.0,0.0,OPTIMUM,0.72703,verify,lm,,,,
wingnut,1732,0.1,0.25,1,1094.0,67.0,OPTIMUM,0.24504,verify,lm,,,,
chainlink,1732,0.1,0.5,1,989.0,4.0,OPTIMUM,0.63808,verify,lm,,,,
ionosphere,1732,0.1,0.5,1,3577.0,56.0,OPTIMUM,64.95714,verify,lm,,,,
iris,1732,0.1,0.5,1,755.0,2.0,OPTIMUM,0.09489,verify,lm,,,,
libras,1732,0.1,0.5,1,3593.0,21.0,OPTIMUM,192.51157,verify,lm,,,,
lsun,1732,0.1,0.5,1,903.0,5.0,OPTIMUM,0.22884,verify,lm,,,,
seeds,1732,0.1,0.5,1,1083.0,18.0,OPTIMUM,0.67488,verify,lm,,,,
spam,1732,0.1,0.5,1,2429.0,0.0,OPTIMUM,237.84518,verify,lm,,,,
target,1732,0.1,0.5,1,646.0,0.0,OPTIMUM,3.63589,verify,lm,,,,
wine,1732,0.1,0.5,1,1178.0,38.0,OPTIMUM,0.74803,verify,lm,,,,
wingnut,1732,0.1,0.5,1,1094.0,9.0,OPTIMUM,0.40788,verify,lm,,,,
glass,1732,0.1,0.5,1,1204.0,6.0,OPTIMUM,5714.25498,verify,lm,,,,
glass,1732,0.1,0.7,1,1321.0,2.0,OPTIMUM,16655.68667,verify,lm,,,,
glass,1732,0.1,1.0,1,1475.0,7.0,OPTIMUM,4224.21494,verify,lm,,,,
libras,1732,0.1,1.0,1,3593.0,3.0,OPTIMUM,990.70241,verify,lm,,,,
libras,1732,0.1,1.5,1,3593.0,2.0,OPTIMUM,9491.33832,verify,lm,,,,
chainlink,2352,0.1,0.7,1,989.0,11.0,OPTIMUM,0.33512,verify,lm,,,,
ionosphere,2352,0.1,0.7,1,3577.0,29.0,OPTIMUM,12.2191,verify,lm,,,,
iris,2352,0.1,0.7,1,755.0,31.0,OPTIMUM,0.15979,verify,lm,,,,
libras,2352,0.1,0.7,1,3342.0,1.0,OPTIMUM,230.11076,verify,lm,,,,
lsun,2352,0.1,0.7,1,923.0,4.0,OPTIMUM,0.96151,verify,lm,,,,
seeds,2352,0.1,0.7,1,991.0,33.0,OPTIMUM,0.27969,verify,lm,,,,
spam,2352,0.1,0.7,1,2432.0,17.0,OPTIMUM,202.97921,verify,lm,,,,
target,2352,0.1,0.7,1,649.0,0.0,OPTIMUM,3.66602,verify,lm,,,,
wine,2352,0.1,0.7,1,1217.0,4.0,OPTIMUM,9.61752,verify,lm,,,,
wingnut,2352,0.1,0.7,1,1094.0,67.0,OPTIMUM,0.28671,verify,lm,,,,
chainlink,2352,0.1,1.0,1,989.0,9.0,OPTIMUM,0.21595,verify,lm,,,,
ionosphere,2352,0.1,1.0,1,3577.0,9.0,OPTIMUM,7.76195,verify,lm,,,,
iris,2352,0.1,1.0,1,755.0,31.0,OPTIMUM,0.11457,verify,lm,,,,
lsun,2352,0.1,1.0,1,923.0,7.0,OPTIMUM,0.20682,verify,lm,,,,
seeds,2352,0.1,1.0,1,1058.0,20.0,OPTIMUM,0.58452,verify,lm,,,,
spam,2352,0.1,1.0,1,2432.0,0.0,OPTIMUM,72.75633,verify,lm,,,,
target,2352,0.1,1.0,1,650.0,164.0,OPTIMUM,3.14659,verify,lm,,,,
wine,2352,0.1,1.0,1,1217.0,44.0,OPTIMUM,0.81764,verify,lm,,,,
wingnut,2352,0.1,1.0,1,1094.0,67.0,OPTIMUM,0.28639,verify,lm,,,,
chainlink,2352,0.1,1.5,1,989.0,11.0,OPTIMUM,0.23389,verify,lm,,,,
glass,2352,0.1,1.5,1,1477.0,5.0,OPTIMUM,392.75804,verify,lm,,,,
ionosphere,2352,0.1,1.5,1,3577.0,28.0,OPTIMUM,6.08668,verify,lm,,,,
iris,2352,0.1,1.5,1,755.0,31.0,OPTIMUM,0.07777,verify,lm,,,,
lsun,2352,0.1,1.5,1,923.0,104.0,OPTIMUM,0.14179,verify,lm,,,,
seeds,2352,0.1,1.5,1,1058.0,18.0,OPTIMUM,0.23604,verify,lm,,,,
spam,2352,0.1,1.5,1,2430.0,6.0,OPTIMUM,66.03517,verify,lm,,,,
target,2352,0.1,1.5,1,650.0,4.0,OPTIMUM,3.70074,verify,lm,,,,
wine,2352,0.1,1.5,1,1275.0,71.0,OPTIMUM,0.53191,verify,lm,,,,
wingnut,2352,0.1,1.5,1,1094.0,67.0,OPTIMUM,0.16035,verify,lm,,,,
chainlink,2352,0.1,1.75,1,989.0,11.0,OPTIMUM,0.22916,verify,lm,,,,
glass,2352,0.1,1.75,1,1478.0,3.0,OPTIMUM,162.61226,verify,lm,,,,
ionosphere,2352,0.1,1.75,1,3577.0,99.0,OPTIMUM,6.11713,verify,lm,,,,
iris,2352,0.1,1.75,1,854.0,31.0,OPTIMUM,0.08222,verify,lm,,,,
lsun,2352,0.1,1.75,1,923.0,13.0,OPTIMUM,0.13075,verify,lm,,,,
seeds,2352,0.1,1.75,1,1058.0,18.0,OPTIMUM,0.26347,verify,lm,,,,
spam,2352,0.1,1.75,1,2432.0,0.0,OPTIMUM,73.34476,verify,lm,,,,
target,2352,0.1,1.75,1,650.0,7.0,OPTIMUM,2.77868,verify,lm,,,,
wine,2352,0.1,1.75,1,1275.0,71.0,OPTIMUM,0.70905,verify,lm,,,,
wingnut,2352,0.1,1.75,1,1094.0,67.0,OPTIMUM,0.15507,verify,lm,,,,
chainlink,2352,0.1,2.0,1,989.0,11.0,OPTIMUM,0.20095,verify,lm,,,,
glass,2352,0.1,2.0,1,1477.0,9.0,OPTIMUM,191.19787,verify,lm,,,,
ionosphere,2352,0.1,2.0,1,3577.0,174.0,OPTIMUM,8.88009,verify,lm,,,,
iris,2352,0.1,2.0,1,854.0,31.0,OPTIMUM,0.07594,verify,lm,,,,
lsun,2352,0.1,2.0,1,923.0,11.0,OPTIMUM,0.12877,verify,lm,,,,
seeds,2352,0.1,2.0,1,1058.0,21.0,OPTIMUM,0.25471,verify,lm,,,,
spam,2352,0.1,2.0,1,2430.0,4.0,OPTIMUM,48.74982,verify,lm,,,,
target,2352,0.1,2.0,1,650.0,18.0,OPTIMUM,2.81345,verify,lm,,,,
wine,2352,0.1,2.0,1,1275.0,71.0,OPTIMUM,0.50577,verify,lm,,,,
wingnut,2352,0.1,2.0,1,1094.0,67.0,OPTIMUM,0.25289,verify,lm,,,,
chainlink,2352,0.1,0.1,1,986.0,8.0,OPTIMUM,3.30214,verify,lm,,,,
glass,2352,0.1,0.1,1,993.0,70.0,OPTIMUM,4.15069,verify,lm,,,,
ionosphere,2352,0.1,0.1,1,3554.0,27.0,OPTIMUM,14.06909,verify,lm,,,,
iris,2352,0.1,0.1,1,755.0,10.0,OPTIMUM,0.13064,verify,lm,,,,
libras,2352,0.1,0.1,1,2862.0,2.0,OPTIMUM,81.26605,verify,lm,,,,
lsun,2352,0.1,0.1,1,829.0,2.0,OPTIMUM,1.75291,verify,lm,,,,
seeds,2352,0.1,0.1,1,896.0,20.0,OPTIMUM,0.1919,verify,lm,,,,
spam,2352,0.1,0.1,1,2429.0,1.0,OPTIMUM,344.7154,verify,lm,,,,
target,2352,0.1,0.1,1,644.0,2.0,OPTIMUM,7.64414,verify,lm,,,,
wine,2352,0.1,0.1,1,1178.0,1.0,OPTIMUM,0.17554,verify,lm,,,,
wingnut,2352,0.1,0.1,1,1094.0,67.0,OPTIMUM,0.47879,verify,lm,,,,
chainlink,2352,0.1,0.25,1,989.0,17.0,OPTIMUM,1.6568,verify,lm,,,,
glass,2352,0.1,0.25,1,1122.0,22.0,OPTIMUM,9.01855,verify,lm,,,,
iris,2352,0.1,0.25,1,755.0,9.0,OPTIMUM,0.0957,verify,lm,,,,
libras,2352,0.1,0.25,1,2862.0,6.0,OPTIMUM,84.74628,verify,lm,,,,
lsun,2352,0.1,0.25,1,880.0,2.0,OPTIMUM,0.54676,verify,lm,,,,
seeds,2352,0.1,0.25,1,982.0,18.0,OPTIMUM,0.23454,verify,lm,,,,
spam,2352,0.1,0.25,1,2429.0,2.0,OPTIMUM,262.82117,verify,lm,,,,
target,2352,0.1,0.25,1,646.0,1.0,OPTIMUM,13.62339,verify,lm,,,,
wine,2352,0.1,0.25,1,1178.0,7.0,OPTIMUM,0.39759,verify,lm,,,,
wingnut,2352,0.1,0.25,1,1094.0,67.0,OPTIMUM,0.45663,verify,lm,,,,
chainlink,2352,0.1,0.5,1,989.0,9.0,OPTIMUM,0.73396,verify,lm,,,,
ionosphere,2352,0.1,0.5,1,3577.0,9.0,OPTIMUM,240.58966,verify,lm,,,,
iris,2352,0.1,0.5,1,755.0,29.0,OPTIMUM,0.12252,verify,lm,,,,
libras,2352,0.1,0.5,1,3342.0,18.0,OPTIMUM,123.79579,verify,lm,,,,
lsun,2352,0.1,0.5,1,923.0,34.0,OPTIMUM,1.12924,verify,lm,,,,
seeds,2352,0.1,0.5,1,991.0,21.0,OPTIMUM,0.52129,verify,lm,,,,
spam,2352,0.1,0.5,1,2432.0,5.0,OPTIMUM,320.17418,verify,lm,,,,
target,2352,0.1,0.5,1,649.0,3.0,OPTIMUM,13.91939,verify,lm,,,,
wine,2352,0.1,0.5,1,1178.0,7.0,OPTIMUM,1.02238,verify,lm,,,,
wingnut,2352,0.1,0.5,1,1094.0,67.0,OPTIMUM,0.29331,verify,lm,,,,
glass,2352,0.1,0.5,1,1167.0,1.0,OPTIMUM,1533.17772,verify,lm,,,,
glass,2352,0.1,0.7,1,1299.0,3.0,OPTIMUM,4689.07186,verify,lm,,,,
glass,2352,0.1,1.0,1,1474.0,1.0,OPTIMUM,5864.00052,verify,lm,,,,
libras,2352,0.1,1.0,1,3342.0,4.0,OPTIMUM,1297.66228,verify,lm,,,,
libras,2352,0.1,1.5,1,3342.0,3.0,OPTIMUM,8559.15391,verify,lm,,,,
chainlink,3556,0.1,0.7,1,989.0,11.0,OPTIMUM,0.40189,verify,lm,,,,
ionosphere,3556,0.1,0.7,1,3577.0,99.0,OPTIMUM,21.88204,verify,lm,,,,
iris,3556,0.1,0.7,1,755.0,23.0,OPTIMUM,0.15109,verify,lm,,,,
lsun,3556,0.1,0.7,1,917.0,4.0,OPTIMUM,0.26114,verify,lm,,,,
seeds,3556,0.1,0.7,1,1083.0,12.0,OPTIMUM,0.7623,verify,lm,,,,
spam,3556,0.1,0.7,1,2432.0,17.0,OPTIMUM,166.17762,verify,lm,,,,
target,3556,0.1,0.7,1,648.0,4.0,OPTIMUM,11.20435,verify,lm,,,,
wine,3556,0.1,0.7,1,1179.0,4.0,OPTIMUM,1.13522,verify,lm,,,,
wingnut,3556,0.1,0.7,1,1094.0,67.0,OPTIMUM,0.22646,verify,lm,,,,
chainlink,3556,0.1,1.0,1,989.0,3.0,OPTIMUM,0.24517,verify,lm,,,,
ionosphere,3556,0.1,1.0,1,3577.0,99.0,OPTIMUM,11.78107,verify,lm,,,,
iris,3556,0.1,1.0,1,854.0,23.0,OPTIMUM,0.13799,verify,lm,,,,
lsun,3556,0.1,1.0,1,923.0,7.0,OPTIMUM,0.66874,verify,lm,,,,
seeds,3556,0.1,1.0,1,1058.0,18.0,OPTIMUM,0.46671,verify,lm,,,,
spam,3556,0.1,1.0,1,2432.0,0.0,OPTIMUM,122.02177,verify,lm,,,,
target,3556,0.1,1.0,1,649.0,3.0,OPTIMUM,9.01191,verify,lm,,,,
wine,3556,0.1,1.0,1,1275.0,32.0,OPTIMUM,3.68942,verify,lm,,,,
wingnut,3556,0.1,1.0,1,1094.0,67.0,OPTIMUM,0.15704,verify,lm,,,,
chainlink,3556,0.1,1.5,1,989.0,11.0,OPTIMUM,0.2021,verify,lm,,,,
glass,3556,0.1,1.5,1,1481.0,3.0,OPTIMUM,223.68863,verify,lm,,,,
ionosphere,3556,0.1,1.5,1,3577.0,83.0,OPTIMUM,9.15348,verify,lm,,,,
iris,3556,0.1,1.5,1,854.0,23.0,OPTIMUM,0.09501,verify,lm,,,,
lsun,3556,0.1,1.5,1,923.0,8.0,OPTIMUM,0.12425,verify,lm,,,,
seeds,3556,0.1,1.5,1,1058.0,20.0,OPTIMUM,0.23921,verify,lm,,,,
spam,3556,0.1,1.5,1,2432.0,0.0,OPTIMUM,99.07233,verify,lm,,,,
target,3556,0.1,1.5,1,649.0,13.0,OPTIMUM,2.74562,verify,lm,,,,
wine,3556,0.1,1.5,1,1275.0,4.0,OPTIMUM,0.97023,verify,lm,,,,
wingnut,3556,0.1,1.5,1,1094.0,67.0,OPTIMUM,0.14997,verify,lm,,,,
chainlink,3556,0.1,1.75,1,989.0,11.0,OPTIMUM,0.20083,verify,lm,,,,
glass,3556,0.1,1.75,1,1479.0,3.0,OPTIMUM,41.25488,verify,lm,,,,
ionosphere,3556,0.1,1.75,1,3575.0,28.0,OPTIMUM,2.69751,verify,lm,,,,
iris,3556,0.1,1.75,1,854.0,23.0,OPTIMUM,0.09766,verify,lm,,,,
lsun,3556,0.1,1.75,1,923.0,8.0,OPTIMUM,0.13054,verify,lm,,,,
seeds,3556,0.1,1.75,1,1058.0,20.0,OPTIMUM,0.21108,verify,lm,,,,
spam,3556,0.1,1.75,1,2432.0,8.0,OPTIMUM,53.73982,verify,lm,,,,
target,3556,0.1,1.75,1,649.0,5.0,OPTIMUM,2.77525,verify,lm,,,,
wine,3556,0.1,1.75,1,1275.0,71.0,OPTIMUM,0.34927,verify,lm,,,,
